host_id,window_start,ingressBytes_sampled,egressBytes_sampled,inRxmitBytes_sampled,outRxmitBytes_sampled,inCongestionBytes_sampled,connections_sampled,ingressBytes_0,ingressBytes_1,ingressBytes_2,ingressBytes_3,ingressBytes_4,ingressBytes_5,ingressBytes_6,ingressBytes_7,ingressBytes_8,ingressBytes_9,ingressBytes_10,ingressBytes_11,ingressBytes_12,ingressBytes_13,ingressBytes_14,ingressBytes_15,ingressBytes_16,ingressBytes_17,ingressBytes_18,ingressBytes_19,ingressBytes_20,ingressBytes_21,ingressBytes_22,ingressBytes_23,ingressBytes_24,ingressBytes_25,ingressBytes_26,ingressBytes_27,ingressBytes_28,ingressBytes_29,ingressBytes_30,ingressBytes_31,ingressBytes_32,ingressBytes_33,ingressBytes_34,ingressBytes_35,ingressBytes_36,ingressBytes_37,ingressBytes_38,ingressBytes_39,ingressBytes_40,ingressBytes_41,ingressBytes_42,ingressBytes_43,ingressBytes_44,ingressBytes_45,ingressBytes_46,ingressBytes_47,ingressBytes_48,ingressBytes_49
62,1000,6526904,6728793,0,0,0,527,150548,69042,66919,43730,130736,131508,217442,334456,550533,375200,242337,206024,88239,12800,12263,8218,3967,20832,982,983,83792,505077,62021,18358,31832,4463,55798,220485,276466,18992,131468,130914,142624,124034,10567,730,2827,139004,909056,546130,30381,10746,1248,7423,37,21038,145622,133623,32107,63282
68,500,582474,2521814,0,32791,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6118,52735,194,6189,52663,116,1082,867,1429,6937,51597,41627,306291,14774,461,696,326,180,275,438,3154,23947,6648,1453,1331,946
26,500,3395,2951,0,0,0,7,0,0,91,321,243,75,309,405,243,0,75,208,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,208,60,0,0,0,0,0,0,101,341,236,0,0,0,0,0,101,243,0,0,0,0
75,500,924608,306859,0,0,0,198,27268,32771,27924,34409,34224,15075,17742,44910,41824,5084,20846,21461,2394,3534,5441,23663,33472,22628,26723,13696,1410,11279,26314,19657,5937,18238,22976,4516,28207,43679,29309,39041,37068,13559,1905,1887,2833,14215,16104,7062,8594,4288,9568,17240,13925,3470,17892,23506,8828,17012
29,1000,800,1186,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,196,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,150962,241933,0,0,0,624,3744,1735,1389,1869,3812,947,2136,3044,843,1227,553,966,3182,6713,765,1410,2583,6078,3618,1186,2650,3525,2162,3364,5887,7521,5809,3809,2092,2720,2125,1852,1274,1718,1009,1380,2458,1955,3780,6426,7225,9765,8101,2591,1112,2257,2219,3191,1540,1645
1,0,3486245,2453009,0,0,0,152,67289,26286,11537,180836,359704,224275,53770,79907,46411,11505,16835,5422,24266,8659,65404,26560,4370,21360,101110,422000,316707,72801,42582,117345,94212,129193,120857,123138,132613,89471,53061,14327,1701,316,2168,986,3296,1149,0,63,22,0,0,0,4615,55701,158653,56148,67849,69765
0,0,6440732,3121288,0,0,0,959,46605,111158,212312,291463,83924,137593,182871,77925,48750,56307,52218,39211,17723,31227,31560,71065,102424,197906,35457,71069,60541,37744,78657,143445,327880,153683,111582,49179,65926,199903,147164,143577,70893,143681,261354,126232,29237,86667,486712,687711,149710,79572,65374,62765,48954,172375,289085,160805,57682,43874
62,0,4272848,3357583,2878,1300,0,15623,83733,78912,73339,78247,81505,78220,87098,80558,83365,85183,94241,101960,110189,102236,105119,93692,86402,122191,85494,79535,78444,82887,84032,77465,73188,76523,79711,76007,74920,90533,86685,94081,96798,84166,93432,93910,72576,82326,78629,78866,79509,85798,80099,83749,91329,86756,77444,73051,82511,86204
10,500,795,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,167,0,0,0,231,169,0,0,0,0,0,0,0,0,0,0,0
