host_id,window_start,ingressBytes_sampled,egressBytes_sampled,inRxmitBytes_sampled,outRxmitBytes_sampled,inCongestionBytes_sampled,connections_sampled,ingressBytes_0,ingressBytes_1,ingressBytes_2,ingressBytes_3,ingressBytes_4,ingressBytes_5,ingressBytes_6,ingressBytes_7,ingressBytes_8,ingressBytes_9,ingressBytes_10,ingressBytes_11,ingressBytes_12,ingressBytes_13,ingressBytes_14,ingressBytes_15,ingressBytes_16,ingressBytes_17,ingressBytes_18,ingressBytes_19,ingressBytes_20,ingressBytes_21,ingressBytes_22,ingressBytes_23,ingressBytes_24,ingressBytes_25,ingressBytes_26,ingressBytes_27,ingressBytes_28,ingressBytes_29,ingressBytes_30,ingressBytes_31,ingressBytes_32,ingressBytes_33,ingressBytes_34,ingressBytes_35,ingressBytes_36,ingressBytes_37,ingressBytes_38,ingressBytes_39,ingressBytes_40,ingressBytes_41,ingressBytes_42,ingressBytes_43,ingressBytes_44,ingressBytes_45,ingressBytes_46,ingressBytes_47,ingressBytes_48,ingressBytes_49
80,0,741521,9695844,0,0,0,269,558,209,430,609,809,2847,3510,3776,12150,139879,275674,160515,26197,3976,4062,2693,2760,6464,6834,2197,2204,1994,1895,2485,3671,3757,2681,2511,1674,1526,1644,1472,2241,2784,1872,1520,1639,1864,1761,3561,4127,2832,10003,11132,1977,1580,1875,2142,2524,2424
7,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,11545781,7943489,0,0,245619,1332,377094,409952,330428,305124,571819,605538,79761,14803,469885,389658,133644,197569,292357,58107,166244,675545,223177,24158,139436,28745,90320,858076,296785,637425,99750,4304,46914,9157,403375,67139,7615,5121,3907,36479,7187,2192,2012,4019,199650,31880,80885,302027,52114,518736,156859,35145,436276,1107215,204037,346136
2,1000,257228,412448,0,0,0,441,11988,2957,3132,6017,1056,1096,842,1158,2950,4906,1796,4167,5394,1628,3925,5384,7033,1415,1941,3637,995,3208,21501,17139,2922,2837,5761,1719,11870,9719,13219,6553,1206,977,1023,815,4250,10062,6750,374,297,655,1799,18005,27819,5028,5255,1630,1002,416
15,500,4896779,1991148,0,0,0,183,96696,13918,1850,164,2707,4304,472,2630,311,0,3983,472,0,49575,5878,0,254639,210731,415181,104658,22423,60761,263457,110905,9860,2667,22895,339830,42682,275488,438507,828080,310310,145639,67392,34482,75289,11161,4615,23433,95789,163433,165377,80159,7671,107413,12847,2643,311,3091
60,0,1921007,3936458,93,255,0,3553,14178,47225,55034,26006,11863,12146,10996,10842,10904,33219,20521,11515,13885,14548,10262,8898,14507,11091,9385,91114,251373,82121,20101,9165,9042,10691,13250,13879,19613,34124,261450,373345,83428,27837,13224,12171,15754,12239,19295,10886,9051,14832,20373,14385,6800,25262,21334,15043,28248,34552
17,1000,0,1477,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,500,13889329,2858738,0,633,4748545,63,1082,0,221,292,89266,812900,1229594,1549345,1480706,1353059,1495738,1291800,1190362,287802,0,155,24056,7872,209,1099,727,776,3738,1263,287,78,0,14339,531331,216835,15329,325,741,204,3373,2112,721,255,430,8589,620648,796084,238807,15196,41,221,261163,277549,62458,151
11,0,3462,6794,0,0,0,19,0,0,0,0,0,0,0,329,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,218,0,0,0,1071,1287
49,500,57537,109214,0,0,0,822,0,442,270,752,347,0,0,6952,5015,1014,99,1048,502,112,498,596,183,6176,4407,693,0,408,195,0,1393,879,101,91,43,0,1413,964,137,0,1275,804,92,1290,1815,573,0,0,264,127,6884,5324,970,327,1696,1366
80,1000,1873832,3545890,0,0,0,95,222,16030,57650,52818,0,16738,39075,17873,1117,1910,0,0,0,0,15982,27331,0,47550,151585,128166,14312,2170,1856,31,56986,99890,4333,0,0,7020,23843,25913,9695,1117,4733,25924,38241,4367,1583,759,28612,83296,67326,38440,64771,65015,77895,146350,236949,168358
56,500,7825573,16354121,0,0,0,1740,162278,164341,163362,143889,144219,86786,155354,179557,154814,148681,112042,146185,148183,138597,136503,188204,160563,196930,177891,127380,179030,173097,153194,158716,141449,118675,96207,124614,163378,198654,171799,145622,195741,147213,171478,202485,113771,163025,182863,201078,232457,163904,118174,151578,140192,153236,150914,138207,162902,176161
14,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1000,16400196,2469995,0,241,1473372,78,0,1627,3436,50597,623022,592092,766389,534477,103043,344,61025,596352,1125358,1431543,1080335,567119,514544,528167,567479,517653,606381,578295,353180,67443,3356,28479,246055,394601,97505,0,0,1239,532,412820,124916,305,270,258,1303,101538,361481,99966,158,298931,350175,1140422,775288,439402,93718,157577
58,1000,1564724,667122,0,0,0,2138,363,602,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,94885,11723,395351,205711,108212,110083,72695,69216,245530,128384,73603,48034
75,0,352,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,500,12675630,2532821,0,0,0,13001,58594,22688,68913,338548,411467,530630,748392,510864,444003,187685,106142,157880,171257,251155,206474,209611,200537,166772,204674,401614,404261,365932,262166,210723,281011,249073,269405,281988,391361,248028,314499,168262,158263,90309,96405,182962,162510,201405,241220,226433,198754,188319,260292,256516,116011,41362,178509,426823,524817,280111
71,1000,214,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214
43,0,9810774,2632275,0,0,1862316,949,146,88,0,0,0,27151,22485,0,6887,6415,906,335040,399761,468932,784482,462026,503529,625803,584670,310707,211653,599751,352702,287661,488996,314637,96466,305843,264676,41744,42097,38233,52680,59818,198487,659200,438705,325386,268171,12756,8422,1872,3929,9230,4992,0,100409,83154,0,76
